,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,25975.0,505505018618,1,545294145707.0,12317715969.0,26200.0,25820.0,-21.850231684911705,-0.08405,-495996156.83587646,-0.09802,19467668.0,21000000.0,21000000.0,69045.0,-62.39196,2021-11-10T14:24:11.849Z,67.81,38193.42402,2013-07-06T00:00:00.000Z,,2023-08-25T18:41:41.242Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1647.98,198056902645,2,198056902645.0,7339119893.0,1664.66,1636.87,4.21,0.25592,454243936.0,0.22988,120216444.295051,120216444.295051,,4878.26,-66.22736,2021-11-10T14:24:19.604Z,0.432979,380407.52196,2015-10-20T00:00:00.000Z,"{'times': 83.85097224904038, 'currency': 'btc', 'percentage': 8385.097224904037}",2023-08-25T18:41:38.627Z
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.999469,82805135256,3,82805135256.0,9739888015.0,1.002,0.997937,0.00037576,0.03761,34484740.0,0.04166,82849133565.976,82849133565.976,,1.32,-24.45979,2018-07-24T00:00:00.000Z,0.572521,74.57332,2015-03-02T00:00:00.000Z,,2023-08-25T18:40:00.843Z
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,217.77,33510341897,4,43560614115.0,389824868.0,219.05,214.12,0.797851,0.36772,141168196.0,0.42305,153856150.0,153856150.0,200000000.0,686.31,-68.26447,2021-05-10T07:24:17.097Z,0.0398177,546900.67045,2017-10-19T00:00:00.000Z,,2023-08-25T18:41:42.745Z
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.523618,27705683768,5,52359644755.0,875067714.0,0.523604,0.508245,0.00851703,1.65347,438985768.0,1.60997,52914193551.0,99988485729.0,100000000000.0,3.4,-84.5842,2018-01-07T00:00:00.000Z,0.00268621,19403.2806,2014-05-22T00:00:00.000Z,,2023-08-25T18:41:42.008Z
5,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,25873026201,6,25873022293.0,4289481505.0,1.003,0.997858,0.00072079,0.07211,39795044.0,0.15405,25865618755.8458,25865614849.2803,,1.17,-14.70264,2019-05-08T00:40:28.300Z,0.877647,13.97382,2023-03-11T08:02:13.981Z,,2023-08-25T18:41:39.318Z
6,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1645.26,13783539573,7,13783595799.0,8911520.0,1661.59,1634.3,1.71,0.10434,28809666.0,0.20945,8377738.53026557,8377772.70467001,8377772.70467001,4829.57,-66.0111,2021-11-10T14:40:47.256Z,482.9,239.93184,2020-12-22T04:08:21.854Z,,2023-08-25T18:41:42.674Z
7,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.261255,9152541186,8,11752435684.0,220172025.0,0.269557,0.259564,-0.003093897501799947,-1.17039,-116539496.2681694,-1.25729,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.53959,2021-09-02T06:00:10.474Z,0.01925275,1256.50896,2020-03-13T02:22:55.044Z,,2023-08-25T18:41:43.454Z
8,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.062653,8815631983,9,8815638873.0,232684258.0,0.06303,0.061847,-4.5307079585027e-05,-0.07226,-8469684.76281166,-0.09598,140737516383.705,140737626383.705,,0.731578,-91.43322,2021-05-08T05:08:23.458Z,8.69e-05,72017.31665,2015-05-06T00:00:00.000Z,,2023-08-25T18:41:43.751Z
9,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.34,8294851561,10,11303031492.0,286931615.0,21.04,20.15,-0.5600940373612531,-2.68001,-236805339.639493,-2.77561,407893462.07744,555818583.791339,,259.96,-92.21367,2021-11-06T21:54:35.825Z,0.500801,3941.7792,2020-05-11T19:35:23.449Z,,2023-08-25T18:41:45.744Z
